sample_id,flight_path,tile_name,land_cover_mask_path,total_pixels,known_pixels,nodata_pixels,unknown_pixels,unknown_codes,class_1_water_pixels,class_2_trees_pixels,class_4_flooded_vegetation_pixels,class_5_crops_pixels,class_7_built_area_pixels,class_8_bare_ground_pixels,class_11_rangeland_pixels,class_1_water_pct,class_2_trees_pct,class_4_flooded_vegetation_pct,class_5_crops_pct,class_7_built_area_pct,class_8_bare_ground_pct,class_11_rangeland_pct
fp1_tile_30_55,fp1,tile_30_55.tif,land_cover_mask_tiles/tile_30_55.tif,65536,65536,0,0,,0,57250,0,5516,0,0,2770,0.0,87.3565673828125,0.0,8.416748046875,0.0,0.0,4.2266845703125
fp1_tile_30_56,fp1,tile_30_56.tif,land_cover_mask_tiles/tile_30_56.tif,65536,65536,0,0,,0,61520,0,3219,0,0,797,0.0,93.8720703125,0.0,4.91180419921875,0.0,0.0,1.21612548828125
fp1_tile_30_57,fp1,tile_30_57.tif,land_cover_mask_tiles/tile_30_57.tif,65536,65536,0,0,,0,33584,0,30636,0,0,1316,0.0,51.2451171875,0.0,46.746826171875,0.0,0.0,2.008056640625
fp1_tile_30_58,fp1,tile_30_58.tif,land_cover_mask_tiles/tile_30_58.tif,65536,65536,0,0,,0,20881,0,44534,0,0,121,0.0,31.86187744140625,0.0,67.9534912109375,0.0,0.0,0.18463134765625
fp1_tile_31_55,fp1,tile_31_55.tif,land_cover_mask_tiles/tile_31_55.tif,65536,65536,0,0,,29,30675,0,9661,21921,0,3250,0.04425048828125,46.80633544921875,0.0,14.74151611328125,33.44879150390625,0.0,4.9591064453125
fp1_tile_31_56,fp1,tile_31_56.tif,land_cover_mask_tiles/tile_31_56.tif,65536,65536,0,0,,2,21133,0,38186,5705,0,510,0.0030517578125,32.24639892578125,0.0,58.2672119140625,8.70513916015625,0.0,0.7781982421875
fp1_tile_31_57,fp1,tile_31_57.tif,land_cover_mask_tiles/tile_31_57.tif,65536,65536,0,0,,52,21138,0,40766,1690,0,1890,0.079345703125,32.2540283203125,0.0,62.2039794921875,2.5787353515625,0.0,2.8839111328125
fp1_tile_31_58,fp1,tile_31_58.tif,land_cover_mask_tiles/tile_31_58.tif,65536,65536,0,0,,0,21139,0,43543,444,0,410,0.0,32.25555419921875,0.0,66.44134521484375,0.677490234375,0.0,0.6256103515625
fp1_tile_32_55,fp1,tile_32_55.tif,land_cover_mask_tiles/tile_32_55.tif,65536,65536,0,0,,204,23047,0,0,33974,21,8290,0.311279296875,35.16693115234375,0.0,0.0,51.8402099609375,0.03204345703125,12.6495361328125
fp1_tile_32_56,fp1,tile_32_56.tif,land_cover_mask_tiles/tile_32_56.tif,65536,65536,0,0,,37,20811,0,2422,39127,0,3139,0.05645751953125,31.75506591796875,0.0,3.6956787109375,59.70306396484375,0.0,4.78973388671875
fp1_tile_32_57,fp1,tile_32_57.tif,land_cover_mask_tiles/tile_32_57.tif,65536,65536,0,0,,1350,22488,0,12530,22730,17,6421,2.0599365234375,34.31396484375,0.0,19.1192626953125,34.6832275390625,0.02593994140625,9.79766845703125
fp1_tile_32_58,fp1,tile_32_58.tif,land_cover_mask_tiles/tile_32_58.tif,65536,65536,0,0,,5,39228,0,19862,3078,0,3363,0.00762939453125,59.857177734375,0.0,30.3070068359375,4.6966552734375,0.0,5.13153076171875
fp1_tile_33_55,fp1,tile_33_55.tif,land_cover_mask_tiles/tile_33_55.tif,65536,65536,0,0,,5512,19634,606,0,35980,0,3804,8.41064453125,29.9591064453125,0.9246826171875,0.0,54.901123046875,0.0,5.804443359375
fp1_tile_33_56,fp1,tile_33_56.tif,land_cover_mask_tiles/tile_33_56.tif,65536,65536,0,0,,84,8540,0,0,55608,0,1304,0.128173828125,13.031005859375,0.0,0.0,84.85107421875,0.0,1.98974609375
fp1_tile_33_57,fp1,tile_33_57.tif,land_cover_mask_tiles/tile_33_57.tif,65536,65536,0,0,,1214,16141,257,1853,43017,0,3054,1.8524169921875,24.62921142578125,0.39215087890625,2.82745361328125,65.63873291015625,0.0,4.6600341796875
